site,Bicolorana bicolor,Calliptamus italicus,Chorthippus albomarginatus,Chorthippus apricarius,Chorthippus biguttulus,Chorthippus brunneus,Chorthippus dorsatus,Chorthippus mollis,Chrysochraon dispar,Conocephalus dorsalis,Conocephalus fuscus,Meconema meridionale,Myrmeleotettix maculatus,Oedipoda caerulescens,Omocestus haemorrhoidalis,Phaneroptera falcata,Platycleis albopunctata,Pseudochorthippus parallelus,Roeseliana roeselii,Stenobothrus lineatus,Tettigonia viridissima
1,0,0,0,2,0,12,23,42,0,0,23,0,0,1,0,0,0,0,6,0,0
2,0,0,0,10,3,2,11,44,5,0,8,0,0,0,0,0,0,0,9,5,0
3,0,0,0,3,0,0,20,14,7,0,5,0,0,0,0,0,0,0,11,0,0
4,0,0,0,0,0,9,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0
5,0,0,1,1,5,4,41,18,1,0,3,0,0,0,0,0,0,8,6,0,0
6,0,0,1,3,3,16,18,47,0,6,34,0,0,0,0,1,0,0,5,0,0
7,0,0,0,0,0,21,1,19,0,0,6,0,0,4,0,0,2,0,1,0,0
8,0,0,0,1,0,9,4,38,0,0,6,0,0,0,0,0,0,0,0,0,0
9,0,0,0,1,0,1,10,4,2,0,21,0,0,0,0,2,0,0,11,0,0
10,0,0,1,1,0,7,20,10,6,0,14,0,0,0,0,0,0,0,5,0,0
11,0,0,0,3,0,17,4,7,0,0,1,0,0,0,0,0,0,0,0,0,0
12,0,0,0,7,14,8,3,38,0,8,9,0,0,1,4,0,0,0,2,0,3
13,0,0,0,3,19,3,9,23,4,0,6,0,0,0,4,1,0,0,7,2,0
14,8,0,0,5,0,1,19,14,0,2,14,0,0,0,0,3,0,0,10,1,3
15,1,0,0,12,0,16,11,19,0,0,6,0,0,0,0,0,0,0,0,0,1
16,3,0,0,17,1,13,15,31,0,5,8,0,0,0,1,3,0,0,0,0,1
17,0,0,0,4,5,16,0,28,0,0,0,0,6,2,0,1,0,0,0,0,1
18,0,0,0,0,0,6,22,18,0,0,9,1,0,7,2,0,0,1,1,6,0
19,0,0,0,3,1,25,8,17,0,0,4,0,0,2,1,0,0,0,0,0,1
20,0,1,1,3,3,20,5,39,0,0,1,0,0,3,0,0,0,0,0,5,0
21,0,0,0,1,2,16,16,31,0,2,15,0,0,6,0,1,2,0,5,0,1
22,2,0,0,3,4,3,22,24,0,6,14,0,0,0,0,0,3,1,3,1,5
23,4,0,0,0,0,2,18,18,0,9,31,0,0,0,0,2,6,0,5,0,10
24,0,1,0,1,5,30,8,44,0,0,11,0,0,8,0,1,5,0,0,0,0
