site,area_ha,prop_nonforest1kmbuffer,abd_animaldisp,abd_otherdisp,sr_animaldisp,sr_otherdisp
P01,44.9,96.85,483,24,19,7
P02,22.9,93.52,475,104,23,10
P03,56.1,94.86,339,45,16,7
P04,73.2,83.52,490,66,27,9
P05,144.8,92.17,270,67,22,8
P06,161.4,97.77,926,188,37,10
P07,340,93.54,476,85,28,10
P08,37.4,86.14,503,44,21,11
P09,32.6,85.79,351,95,29,8
P10,104.6,92.88,338,352,21,11
P11,140.1,76.71,1028,478,29,13
P12,330.3,87.22,199,214,27,7
P13,891.4,96.85,1428,460,39,16
P14,47.9,100,221,334,25,9
P15,234.2,100,282,141,25,11
P16,142.6,79.96,185,247,30,9
P17,303.9,94.89,284,401,25,12
P18,73,85.7,264,330,21,10
P19,51.5,85.74,412,87,22,10
P20,186.1,94.51,240,196,22,8
P21,44,98.53,332,90,24,11
P22,856.3,96.53,984,226,33,16
P23,528.1,99.09,878,264,34,10
P24,97.9,99.89,382,98,16,8
P25,1885.3,96.5,1210,829,37,25
P26,49.6,96.68,295,121,19,5
P27,107.8,100,391,290,21,12
P28,10359.6,88.62,1837,2006,53,31
