ID,n_amph,n_rept,size_ha,shapeindex,wooded_ha,woodshapeindex,mean_ENN500m,dist_fromcore
A1,0,2,29.79,0.49,10.1,0.29,2.56,2024
A2,1,1,11.63,0.41,4.33,0.45,3.25,2553
A3,6,12,284.1,0.4,149.15,0.21,4.48,3356
A4,2,10,240.58,0.39,165.45,0.19,3.37,2596
A5,0,1,4.01,0.83,0.85,0.41,1.25,3129
A6,0,0,3.28,0.65,0.9,0.69,2.79,3223
A7,0,0,2.81,0.86,1.6,0.66,2.25,3183
A8,0,0,1.14,0.63,0.85,0.57,0.72,4489
A9,0,3,20.95,0.29,4.4,0.17,0.49,2512
A10,0,0,2.04,0.67,0.9,0.69,0.8,4057
A11,0,0,2.52,0.77,1.01,0.66,2.31,4597
A12,0,0,1.87,0.63,1.3,0.6,2.76,4656
A13,0,0,1.29,0.68,1.01,0.72,2.55,4867
A14,0,0,2.84,0.56,1.04,0.54,1.08,5149
A15,2,2,32.21,0.29,25.61,0.27,3.42,5111
A16,0,0,1.96,0.73,1.05,0.61,0.58,5604
A17,0,0,2.55,0.57,2.3,0.59,1.29,5635
A18,1,1,63.6,0.41,24.36,0.23,1.75,5745
A19,7,13,668.46,0.34,372.73,0.09,4.76,6786
B1,3,7,137.22,0.64,65.9,0.21,2.27,2081
B2,0,1,2.99,0.59,1.1,0.53,1.15,2851
B3,0,1,2.67,0.88,0.24,0.25,1.26,2968
B4,0,2,8.63,0.77,3.9,0.38,1.05,3195
B5,1,4,15.47,0.68,4.4,0.36,0.22,4131
B6,0,0,2.17,0.41,0,0,0.72,3630
B7,3,11,165.08,0.75,120,0.32,2.75,4885
B8,0,2,5.5,0.79,2.6,0.36,1.88,4883
B9,0,2,3.64,0.77,0.9,0.62,1.33,4900
B10,0,2,11.74,0.69,3.85,0.36,1.89,5265
B11,0,1,1.35,0.58,0,0,2.1,4845
B12,0,1,1.37,0.78,1.3,0.46,1.77,4870
B13,0,0,1.16,0.92,0.43,0.66,1,5509
B14,0,3,13.87,0.35,4.5,0.24,1.56,5505
B15,2,6,83.99,0.38,22.93,0.09,1.29,6203
B16,1,4,11.4,0.74,3.04,0.4,1.23,7755
B17,0,1,6.21,0.54,0,0,2.65,7904
B18,0,0,1.69,0.84,0,0,1.14,8247
B19,3,4,370,0.47,16.5,0.23,0.2,9948
C1,3,5,37.18,0.8,4.09,0.35,4.21,2358
C2,0,4,18.92,0.72,6.23,0.31,0.87,2900
C3,0,4,16.15,0.57,2.45,0.81,8.89,2475
C4,2,6,89.37,0.61,35.82,0.16,6.18,3668
C5,0,4,21.14,0.78,3.1,0.42,1.63,3420
C6,0,3,6.06,0.61,1.2,0.37,3.03,3668
C7,0,0,2.25,0.91,1,0.57,2.83,4364
C8,0,0,2.89,0.71,1.45,0.64,1.59,4569
C9,2,4,68.48,0.36,15.9,0.18,2.72,5540
C10,7,10,318.56,0.73,216.18,0.3,4.85,6436
C11,2,0,5,0.63,1.8,0.45,0.52,5950
C12,0,0,18.48,0.65,2.38,0.21,5.97,7400
C13,8,11,1592.3,0.61,59.39,0.11,21.62,10485
C14,0,2,18.81,0.45,10.17,0.44,11.11,9789
D1,0,0,1.13,0.63,0.7,0.6,0.62,668
D2,1,2,26.05,0.55,9.65,0.32,1.99,1260
D3,4,5,8.05,0.53,3.8,0.43,0.68,1280
D4,6,9,108.44,0.79,43.3,0.15,1.29,2574
D5,5,6,83.27,0.81,20.95,0.14,1.37,3157
D6,2,7,384.49,0.37,65.36,0.15,1.59,5209
D7,0,0,7.76,0.39,2.33,0.85,0.99,4540
D8,6,11,973.29,0.41,240.21,0.09,2.23,8501
D9,2,5,10.7,0.48,0.87,0.53,1.38,6747
D10,0,2,6.14,0.65,0.31,0.84,0.56,8070
