id,area_ha,isolation1_km,isolation2_km,n_habitats,type,sr,nestedrank_breeding,nestedrank_wintering
1,92.16,1.37,1.37,12,Forested hill,44,1,2
2,36,0.25,0.33,12,Large park,42,4,1
3,26,0.31,2.34,12,Forested hill,35,3,8
4,21.31,0.44,2.68,11,Large park,32,6,5
5,20,0.18,0.87,7,Large park,16,12,12
6,18,1.6,4.96,5,Plantation,27,8,6
7,16.7,0.56,0.56,9,Large park,35,2,9
8,16,0.53,0.53,8,Plantation,30,7,4
9,11.4,0.45,1.55,10,Large park,37,5,3
10,7.07,0.97,1.74,5,Large park,18,11,16
11,4.92,0.15,0.15,6,Forested hill,17,13,10
12,3.84,2.36,4.6,5,Small park,17,16,14
13,3.24,2.45,2.45,6,Native woodlot,25,10,7
14,3.16,3.33,3.49,6,Small park,14,14,15
15,2.88,0.15,0.78,7,Small park,20,9,17
16,1.51,2.65,2.74,4,Small park,7,19,18
17,1.44,0.61,3.5,6,Small park,14,17,13
18,1.28,1.49,4.25,3,Small park,4,20,20
19,0.96,1.76,4.6,6,Small park,17,15,11
20,0.52,0.28,2.4,3,Small park,7,18,19
